ID,Rented Bike Count,Hour,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
1445,33,,-11.1,50,1.2,1986.0,-19.4,0.0,0.0,,Winter,,Yes
1653,218,20.0,,44,2.1,,-16.1,0.0,0.0,0.0,Winter,,Yes
7497,0,8.0,11.4,66,0.8,1991.0,5.2,,0.0,0.0,Autumn,Holiday,No
1894,133,21.0,,38,2.3,2000.0,-14.7,0.0,0.0,0.0,,Holiday,Yes
3881,1496,16.0,19.1,54,3.2,542.0,9.5,,0.0,0.0,Spring,No Holiday,Yes
2407,63,6.0,3.4,85,1.5,234.0,1.1,0.0,0.0,0.0,Spring,No Holiday,Yes
5083,306,18.0,27.5,79,0.5,1237.0,23.5,0.65,0.5,0.0,Summer,,Yes
8554,883,9.0,0.2,28,1.9,1932.0,-16.2,,,0.0,Autumn,,Yes
4664,657,7.0,19.4,69,0.3,1277.0,13.5,0.42,0.0,0.0,Summer,No Holiday,Yes
1967,319,,0.5,22,2.9,2000.0,-18.8,0.0,0.0,0.0,,No Holiday,Yes
3807,1096,14.0,22.2,42,1.7,2000.0,8.6,2.29,0.0,0.0,Spring,No Holiday,Yes
6221,276,,22.1,54,1.6,2000.0,12.3,0.0,0.0,0.0,Summer,No Holiday,Yes
6371,551,10.0,,52,1.8,2000.0,19.2,0.93,0.0,0.0,Summer,No Holiday,Yes
8019,287,2.0,6.4,65,0.0,2000.0,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes
1601,199,16.0,-5.4,25,3.4,1985.0,-22.3,1.44,,,Winter,No Holiday,Yes
6136,709,,34.0,51,1.8,1508.0,22.4,0.98,,0.0,Summer,No Holiday,Yes
4051,2261,18.0,17.5,79,1.5,2000.0,13.8,,,,Spring,No Holiday,Yes
4293,2252,20.0,23.0,49,,1905.0,11.7,0.07,0.0,0.0,Spring,No Holiday,Yes
2875,1935,18.0,17.4,57,3.1,657.0,8.7,0.52,0.0,0.0,Spring,No Holiday,Yes
3796,194,,,63,,,8.5,0.0,0.0,0.0,Spring,No Holiday,Yes
3013,70,12.0,7.3,95,2.2,676.0,6.5,0.3,0.5,0.0,Spring,,Yes
427,281,,0.0,88,0.6,277.0,-1.7,0.0,,2.7,Winter,No Holiday,Yes
411,38,2.0,-5.0,65,,990.0,,,0.0,0.2,,No Holiday,
7754,774,1.0,10.9,72,0.0,1966.0,6.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
3264,467,23.0,8.6,69,2.2,1730.0,,0.0,0.0,0.0,Spring,No Holiday,Yes
4926,235,5.0,20.3,87,1.0,251.0,18.0,0.0,0.0,0.0,Summer,,Yes
3768,1016,,15.9,83,0.6,2000.0,,0.0,0.0,0.0,Spring,No Holiday,Yes
5502,327,,23.9,83,0.4,780.0,20.8,0.0,0.0,0.0,Summer,No Holiday,Yes
5794,866,9.0,30.5,53,1.6,2000.0,19.8,1.74,0.0,0.0,Summer,No Holiday,Yes
6292,255,3.0,26.1,65,0.6,2000.0,18.9,0.0,0.0,0.0,Summer,,Yes
211,384,18.0,2.5,41,1.0,1974.0,-9.4,0.0,,0.0,Winter,No Holiday,Yes
2488,1025,15.0,21.7,39,,1979.0,7.1,2.09,0.0,0.0,Spring,No Holiday,Yes
5824,665,15.0,37.8,34,1.8,1965.0,19.2,2.81,,0.0,Summer,No Holiday,Yes
3376,1080,15.0,,27,1.8,,5.6,,0.0,0.0,Spring,No Holiday,Yes
6005,183,4.0,28.0,85,1.0,1079.0,25.2,0.0,,0.0,Summer,No Holiday,Yes
3969,2059,8.0,18.4,68,1.1,254.0,12.3,0.88,0.0,0.0,Spring,No Holiday,Yes
1050,277,17.0,-1.4,68,1.0,761.0,-6.5,,0.0,0.0,Winter,No Holiday,
4056,864,23.0,13.2,68,1.8,2000.0,7.4,0.0,,0.0,,No Holiday,Yes
7713,2154,8.0,8.5,77,0.5,,4.6,,,0.0,Autumn,No Holiday,
6957,1073,,21.1,88,1.7,404.0,19.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
3834,2034,,21.3,34,2.7,1967.0,4.7,1.82,0.0,0.0,Spring,,
1973,50,4.0,-3.8,32,1.1,2000.0,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes
7977,1888,8.0,5.1,67,0.3,1981.0,-0.5,0.24,0.0,0.0,Autumn,No Holiday,Yes
2100,356,,4.6,37,1.6,1309.0,-8.8,1.95,0.0,0.0,Winter,No Holiday,Yes
1500,194,,-2.6,33,1.5,1830.0,-16.6,0.95,0.0,1.4,Winter,,Yes
1110,58,5.0,1.1,64,0.5,505.0,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
5031,1030,14.0,27.1,72,3.0,1126.0,21.6,,0.0,0.0,Summer,No Holiday,Yes
5441,1125,,32.8,52,3.0,1803.0,21.6,2.28,0.0,0.0,Summer,No Holiday,Yes
653,50,4.0,-5.8,32,1.6,2000.0,-19.8,0.0,0.0,0.0,,No Holiday,Yes
3102,91,5.0,0.7,96,1.0,206.0,0.1,0.0,0.0,0.0,Spring,No Holiday,Yes
7874,572,1.0,10.0,78,0.4,1669.0,6.3,0.0,0.0,0.0,Autumn,No Holiday,Yes
1796,406,,2.4,57,,1995.0,,0.0,0.0,0.0,Winter,No Holiday,Yes
1703,263,22.0,2.5,66,1.1,759.0,-3.2,0.0,,0.0,,No Holiday,Yes
8458,457,9.0,3.5,53,1.0,1338.0,-5.2,0.22,0.0,0.0,Autumn,No Holiday,Yes
5328,373,23.0,24.9,87,0.5,658.0,22.5,0.0,0.0,0.0,Summer,,Yes
7337,0,16.0,,36,3.2,1929.0,5.9,,0.0,0.0,Autumn,No Holiday,No
1499,168,10.0,-5.0,41,0.5,1799.0,-16.2,0.64,0.0,1.5,Winter,No Holiday,Yes
7076,1720,19.0,20.3,81,1.0,2000.0,16.9,0.02,,0.0,,No Holiday,Yes
7895,1316,,13.6,56,1.0,1611.0,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
2179,317,18.0,-0.8,40,4.7,,-12.7,0.43,0.0,0.0,Spring,,Yes
3837,1979,,17.3,53,1.9,2000.0,7.6,0.01,0.0,0.0,,No Holiday,Yes
7384,0,15.0,25.3,39,,2000.0,10.3,1.88,0.0,0.0,Autumn,No Holiday,No
4692,735,,20.5,79,1.7,770.0,16.7,,0.0,0.0,Summer,No Holiday,Yes
7659,427,2.0,11.7,70,1.0,1012.0,6.4,0.0,0.0,0.0,Autumn,No Holiday,Yes
706,224,9.0,0.2,76,1.3,249.0,-3.5,0.03,0.0,0.0,Winter,No Holiday,Yes
1873,79,0.0,-2.7,41,3.2,1695.0,-14.1,0.0,0.0,0.0,Winter,Holiday,Yes
7403,33,,15.8,89,1.8,742.0,,0.18,1.5,0.0,Autumn,No Holiday,Yes
3406,1491,21.0,17.8,21,1.2,2000.0,-4.8,0.0,0.0,0.0,Spring,No Holiday,Yes
6112,820,15.0,,46,2.0,2000.0,21.5,1.54,0.0,0.0,Summer,No Holiday,Yes
3291,237,2.0,,45,0.9,1987.0,-2.8,0.0,0.0,0.0,Spring,No Holiday,Yes
8200,848,15.0,15.4,72,1.1,,10.3,0.57,0.0,0.0,,No Holiday,Yes
4451,970,10.0,25.1,40,2.7,1076.0,10.5,2.37,0.0,0.0,Summer,No Holiday,Yes
4079,1595,22.0,18.4,34,1.2,2000.0,2.2,,0.0,0.0,Spring,,Yes
7245,0,20.0,18.0,67,0.7,,11.7,0.0,0.0,0.0,Autumn,No Holiday,No
5283,387,2.0,22.7,63,0.9,,15.2,0.0,0.0,0.0,,No Holiday,Yes
6460,22,3.0,20.3,97,,200.0,19.8,0.0,,0.0,Summer,No Holiday,Yes
566,7,13.0,,90,0.7,744.0,2.2,0.15,0.0,0.0,Winter,Holiday,Yes
5475,497,2.0,25.3,78,1.0,2000.0,21.1,0.0,0.0,0.0,Summer,No Holiday,Yes
3086,847,13.0,7.4,27,1.8,,-10.4,0.86,0.0,0.0,,No Holiday,Yes
3429,12,20.0,,80,1.8,821.0,9.9,0.0,1.5,0.0,Spring,No Holiday,Yes
641,269,16.0,-3.2,23,,2000.0,-21.4,0.57,0.0,0.0,Winter,No Holiday,Yes
8637,570,20.0,5.5,77,0.7,490.0,,0.0,0.0,0.4,Autumn,,Yes
4197,1902,20.0,20.0,46,2.6,1414.0,8.0,0.05,0.0,0.0,Spring,,Yes
3943,552,6.0,12.1,89,0.3,252.0,10.3,,0.0,0.0,Spring,No Holiday,Yes
