ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,0,0,0,0,81,2092.67381,0.015,0.027155449,0,0,Oct,2,2,1,1,Returning_Visitor,FALSE,FALSE
2,0,0,2,56,9,379,0,0.03,0,0,May,2,2,2,4,New_Visitor,FALSE,FALSE
3,0,0,0,0,36,2107.583333,0.014814815,0.03287037,0,0,Dec,3,2,1,2,Returning_Visitor,FALSE,FALSE
4,4,23.375,2,231.6,35,996.1480769,0.006081081,0.041741742,0,0,Nov,2,2,5,2,Returning_Visitor,TRUE,FALSE
5,0,0,0,0,39,2558.5,0,0.010810811,0,0,Nov,4,2,2,10,Returning_Visitor,FALSE,FALSE
6,8,822.6666667,3,225.3333333,45,1896.966667,0.011764706,0.02745098,7.521155028,0,Dec,1,1,3,1,Returning_Visitor,FALSE,FALSE
7,0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,4,1,1,Returning_Visitor,TRUE,FALSE
8,0,0,0,0,8,95,0.025,0.058333333,0,0,Dec,2,4,7,1,Returning_Visitor,FALSE,FALSE
9,7,228.125,0,0,71,1294.251207,0.002631579,0.01503053,4.508271053,0,May,2,2,3,13,Returning_Visitor,FALSE,FALSE
10,5,65,0,0,48,1142.666667,0,0.00625,0,0,May,2,5,7,3,Returning_Visitor,FALSE,FALSE
11,4,46.04166667,4,93.41666667,75,6057.928961,0.01042524,0.019667423,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE,TRUE
12,0,0,0,0,5,41,0.04,0.08,0,0,Dec,2,5,1,1,Returning_Visitor,FALSE,FALSE
13,0,0,5,497.8333333,26,851.6666667,0.006451613,0.01827957,0,0,Nov,2,2,1,2,New_Visitor,TRUE,FALSE
14,0,0,0,0,54,3371.05,0.003773585,0.022012579,0,0,Jul,2,4,1,3,Returning_Visitor,FALSE,FALSE
15,0,0,0,0,4,44.5,0,0.05,0,0,Dec,2,2,8,2,Returning_Visitor,FALSE,FALSE
16,5,74.75,0,0,14,512.5,0,0.023529412,0,0,Dec,2,7,7,8,New_Visitor,TRUE,FALSE
17,0,0,0,0,3,1016.5,0.066666667,0.066666667,0,0,Mar,3,2,5,1,Returning_Visitor,FALSE,FALSE
18,11,281.3333333,0,0,41,1167.95,0,0.011347518,7.907379545,0,Nov,1,1,3,2,New_Visitor,TRUE,TRUE
19,9,204.0833333,0,0,63,3552.702381,0,0.007,19.95572297,0,Mar,1,2,8,8,New_Visitor,FALSE,TRUE
20,0,0,0,0,22,401.1666667,0,0.013636364,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
21,3,54,0,0,26,1296.183333,0.036781609,0.060344828,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
22,3,52.33333333,0,0,2,291,0,0.04,0,0,May,2,2,7,3,New_Visitor,FALSE,FALSE
23,11,281.6309524,0,0,54,923.6757353,0,0.012261867,5.150663602,0,Mar,1,1,7,2,Returning_Visitor,FALSE,FALSE
24,2,75,0,0,29,1279.089286,0.003333333,0.014166667,35.60912359,0,Nov,2,2,3,11,Returning_Visitor,FALSE,TRUE
25,12,394.1,0,0,30,917.25,0,0.005405405,0,0,Nov,2,2,1,2,New_Visitor,TRUE,TRUE
26,0,0,0,0,6,415,0,0.033333333,0,0.4,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
27,3,33.6,0,0,4,109.5,0,0.013333333,0,0,Oct,3,2,1,2,New_Visitor,FALSE,FALSE
28,0,0,0,0,19,1138.793636,0,0.007017544,0,0,Aug,2,4,3,2,Returning_Visitor,FALSE,FALSE
29,6,60,2,61,23,1031.704762,0,0.007111111,33.14784917,0,Mar,4,2,9,10,Returning_Visitor,TRUE,TRUE
30,0,0,1,0,11,185.6666667,0.05,0.083333333,0,0,Dec,3,2,1,1,Returning_Visitor,FALSE,FALSE
31,3,202.1333333,0,0,23,721.1833333,0,0.008,0,0,Sep,1,1,1,2,New_Visitor,FALSE,FALSE
32,10,168.9066667,2,18.4,36,853.8502721,0,0.007751938,5.6479944,0,Oct,3,2,3,2,Returning_Visitor,TRUE,FALSE
33,6,46.27272727,0,0,113,2216.66832,0.005357143,0.014344857,8.353508036,0.2,May,2,2,1,1,Returning_Visitor,FALSE,FALSE
34,0,0,0,0,5,177.6666667,0,0.04,0,0,May,1,1,1,4,New_Visitor,FALSE,FALSE
35,0,0,0,0,7,258.5,0.028571429,0.071428571,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE,FALSE
36,0,0,0,0,25,1320.5,0,0.030666667,0,0.8,May,2,10,1,1,Returning_Visitor,FALSE,FALSE
37,0,0,0,0,4,34,0.1,0.15,0,0,Mar,3,2,6,1,Returning_Visitor,FALSE,FALSE
38,0,0,2,288,132,6725.66369,0.003731343,0.01286425,0,0,Nov,2,2,2,2,Returning_Visitor,FALSE,FALSE
39,0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE,FALSE
40,6,105.6333333,2,105.95,8,246.3865079,0,0.008928571,0,0,Nov,3,2,2,3,Returning_Visitor,FALSE,FALSE
41,8,111.93,0,0,13,860.77,0.020952381,0.056017316,0,0,Jul,1,1,1,2,Returning_Visitor,FALSE,FALSE
42,1,260,0,0,11,198.1666667,0,0.008333333,0,0,May,2,2,9,2,New_Visitor,FALSE,FALSE
43,4,131.1,0,0,13,777.05,0,0.003921569,0,0,Oct,2,2,1,2,Returning_Visitor,FALSE,FALSE
44,1,0,0,0,59,1669.940186,0.004137931,0.011611098,0,0,Dec,2,2,3,7,Returning_Visitor,TRUE,FALSE
45,1,5,0,0,63,1405.327056,0.003174603,0.006349206,8.44235219,0,Nov,2,2,1,1,Returning_Visitor,FALSE,TRUE
46,6,111.5,0,0,26,449.0277778,0,0.018518519,0,0.6,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
47,7,127.6666667,0,0,12,107,0,0.033333333,0,0,Nov,1,1,4,2,New_Visitor,TRUE,FALSE
48,0,0,0,0,53,1618.203333,0.023846154,0.047628205,0,0,Oct,1,8,1,1,Returning_Visitor,TRUE,FALSE
49,0,0,2,39.66666667,89,3509.130952,0.005617978,0.015248796,42.8662809,0,May,2,4,3,6,Returning_Visitor,TRUE,FALSE
50,5,200.8333333,0,0,44,1909.080556,0.004761905,0.018253968,0,0,Dec,1,8,1,10,Returning_Visitor,FALSE,FALSE
51,1,7,1,2,43,2325.611905,0.00952381,0.01814059,0,0.8,May,3,2,1,4,Returning_Visitor,FALSE,FALSE
52,0,0,0,0,13,0,0.2,0.2,0,0.8,May,3,2,2,6,Returning_Visitor,FALSE,FALSE
53,14,1097.016667,1,291.2,68,4100.255455,0.007631579,0.025614035,18.42740587,0,Aug,1,1,3,3,Returning_Visitor,FALSE,FALSE
54,0,0,0,0,18,328.3214286,0,0.004419192,0,0.2,May,3,2,3,6,Returning_Visitor,FALSE,FALSE
55,2,5,0,0,3,32,0,0.066666667,0,1,May,2,2,2,5,Returning_Visitor,TRUE,FALSE
56,0,0,0,0,1,0,0.2,0.2,0,0,June,2,2,1,1,Returning_Visitor,FALSE,FALSE
57,0,0,0,0,13,412,0,0.028205128,0,0,Mar,2,2,4,3,Returning_Visitor,FALSE,FALSE
58,4,31,4,106,27,825.1401515,0.006896552,0.025517241,0,0,Nov,2,2,3,2,Returning_Visitor,TRUE,FALSE
59,0,0,0,0,10,72,0.08,0.11,0,0.6,May,3,2,1,6,Returning_Visitor,FALSE,FALSE
60,0,0,0,0,59,2574.725974,0.003508772,0.016621682,2.790473684,0,May,2,2,5,4,Returning_Visitor,FALSE,FALSE
61,2,70.6,0,0,30,515.2333333,0,0.02,0,0,Aug,1,1,3,1,Returning_Visitor,FALSE,FALSE
62,0,0,5,118.5,17,558.3988095,0.022727273,0.046212121,0,0,Dec,1,8,5,11,Returning_Visitor,FALSE,FALSE
63,0,0,0,0,4,46.25,0,0.1,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,TRUE
64,1,30.7,0,0,33,1148.333333,0,0.020833333,0,0,Aug,2,5,6,1,Returning_Visitor,FALSE,FALSE
65,1,6,0,0,23,2767.2,0,0.008333333,0,0,Sep,2,2,7,1,New_Visitor,FALSE,FALSE
66,1,49.5,0,0,65,3804.2875,0,0.0203125,0,0,Nov,2,5,3,13,Returning_Visitor,TRUE,FALSE
67,12,196.8571429,0,0,59,1533.025834,0.00721393,0.0322986,6.048714136,0,Nov,2,2,1,1,Returning_Visitor,TRUE,FALSE
68,3,66.375,0,0,85,3344.958929,0.002325581,0.012754534,0,0,Dec,2,2,4,3,Returning_Visitor,FALSE,FALSE
69,3,29.44,1,0,4,15.24,0,0.039583333,0,0,Sep,2,2,8,2,Returning_Visitor,FALSE,TRUE
70,0,0,0,0,4,233,0.05,0.075,0,0,Mar,2,4,2,1,Returning_Visitor,FALSE,FALSE
71,0,0,0,0,37,582.2666667,0,0.021959459,0,0,Nov,2,2,5,2,Returning_Visitor,FALSE,FALSE
72,7,191.2,4,654.3333333,31,1204.600433,8.55E-04,0.013342491,11.92009615,0,Mar,2,2,7,2,Returning_Visitor,FALSE,TRUE
73,0,0,0,0,81,2071,0.012345679,0.025308642,0,0.6,May,1,8,3,2,Returning_Visitor,FALSE,FALSE
74,2,7,0,0,3,11,0,0.033333333,0,0,May,4,5,1,4,Returning_Visitor,FALSE,FALSE
75,0,0,0,0,1,0,0.2,0.2,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE,FALSE
76,3,22,0,0,152,4251.74125,0.003947368,0.009780702,0,0,Nov,2,2,1,10,Returning_Visitor,FALSE,TRUE
77,0,0,0,0,44,1112,0,0.006818182,0,0,Mar,4,1,4,3,Returning_Visitor,TRUE,FALSE
78,0,0,0,0,12,748.25,0.016666667,0.022222222,0,0,Nov,1,2,1,2,Returning_Visitor,TRUE,FALSE
79,5,415.55,0,0,115,4424.621667,0.004273504,0.023036223,13.29131586,0,Aug,2,4,4,1,Returning_Visitor,TRUE,TRUE
80,0,0,0,0,16,2337,0,0.013333333,17.76266667,0,Mar,2,2,1,1,Returning_Visitor,FALSE,TRUE
81,1,64,0,0,15,188.5,0,0.007142857,0,0,May,2,4,2,2,Returning_Visitor,FALSE,FALSE
82,0,0,0,0,1,0,0.2,0.2,0,0,Nov,3,2,3,10,Other,FALSE,FALSE
83,0,0,0,0,12,167.2222222,0,0.001666667,0,0,Mar,3,2,1,3,Returning_Visitor,TRUE,FALSE
84,2,28.2,0,0,16,312.2,0.033333333,0.048148148,0,0,Oct,2,2,1,1,Returning_Visitor,FALSE,FALSE
85,0,0,0,0,7,104.3333333,0.085714286,0.092857143,0,0.8,May,3,2,6,13,Returning_Visitor,FALSE,FALSE
86,10,363.3333333,0,0,59,2012.900794,0.001538462,0.011431235,54.65714872,0,May,1,5,1,4,Returning_Visitor,FALSE,FALSE
87,9,135.1,0,0,23,620.0333333,0.022222222,0.030246914,0,0,Aug,2,5,5,1,Returning_Visitor,FALSE,FALSE
88,6,322.35,0,0,33,1845.394615,0,0.009714286,39.42556512,0,Jul,2,2,1,1,Returning_Visitor,FALSE,TRUE
89,2,28,0,0,51,2587.766667,0,0.007434641,21.47448516,0,Nov,4,2,3,10,Returning_Visitor,FALSE,TRUE
90,6,96,6,251.6666667,16,261,0.012820513,0.029871795,0,0,Nov,3,2,7,1,Returning_Visitor,TRUE,FALSE
91,5,147.4,0,0,12,1226.1,0.022222222,0.037301587,5.034409251,0,Sep,3,2,2,1,Returning_Visitor,FALSE,TRUE
92,4,229.25,0,0,8,372.25,0.022222222,0.00952381,0,0,Dec,1,2,1,8,Returning_Visitor,FALSE,FALSE
93,20,199.4562728,7,299.0333333,686,23342.08205,0.009853301,0.022771363,0.150650498,0,Aug,2,2,1,1,Returning_Visitor,FALSE,FALSE
94,0,0,0,0,8,258,0.025,0.075,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
95,2,213.5,0,0,6,108.9166667,0,0.025,0,0,Dec,1,1,1,2,New_Visitor,TRUE,FALSE
96,1,25.5,0,0,12,122.6666667,0,0.014285714,0,0,Nov,1,1,1,8,New_Visitor,TRUE,FALSE
97,0,0,0,0,10,158.3666667,0,0,54.9950922,0,Jul,2,2,1,1,Returning_Visitor,FALSE,TRUE
98,0,0,0,0,9,591.25,0,0.022222222,0,0,Dec,2,2,6,13,Returning_Visitor,FALSE,FALSE
99,4,19.5,0,0,47,483.3,0.016326531,0.033469388,5.466387755,1,May,2,2,1,6,Returning_Visitor,TRUE,FALSE
100,2,15.66666667,0,0,30,1724.25,0.013793103,0.032413793,0,0,Mar,2,2,3,1,Returning_Visitor,TRUE,FALSE
101,0,0,0,0,33,783.6666667,0.006060606,0.027272727,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE,FALSE
